Навык,Количество,Процент
Техническая документация,8,0.27%
Системный анализ,7,0.24%
Нормативно-техническая документация,7,0.24%
Управление временем,7,0.24%
Разработка стратегии развития,7,0.24%
Коммуникабельность,7,0.24%
Навыки презентации,7,0.24%
Чтение проектной документации,7,0.24%
Формирование границ проекта,7,0.24%
Организационные навыки,7,0.24%
Коммуникативные навыки,7,0.24%
1С: Предприятие 8,7,0.24%
Управление интернет-проектами,6,0.21%
Активные продажи,6,0.21%
Знание нормативной документации ГОСТ и СНиП,6,0.21%
Организация совещаний,6,0.21%
Контроль выполнения задач,6,0.21%
Atlassian Jira,6,0.21%
Строительное делопроизводство,6,0.21%
1С: Документооборот,6,0.21%
Управление персоналом,6,0.21%
Навыки продаж,6,0.21%
Согласование договоров,6,0.21%
Продуктовые метрики,6,0.21%
Управление отношениями с клиентами,6,0.21%
Выбор подрядных организаций,6,0.21%
Организация деловых встреч,6,0.21%
Управление бэклогом,6,0.21%
Контроль качества,6,0.21%
Ведение отчетности,5,0.17%
MS Office,5,0.17%
MS Outlook,5,0.17%
Ведение рабочей документации,5,0.17%
Взаимодействие с заказчиком,5,0.17%
Оптимизация бизнес-процессов,5,0.17%
Менеджмент качества,5,0.17%
Жизненный цикл команды,5,0.17%
1С,5,0.17%
Высшее образование,5,0.17%
Консультирование клиентов,5,0.17%
Разработка и внедрение KPI,5,0.17%
Waterfall,5,0.17%
PMBOK,5,0.17%
Управление изменениями,5,0.17%
Контроль сотрудников,5,0.17%
Стрессоустойчивость,5,0.17%
Лидерство,5,0.17%
CRM,5,0.17%
Мобильность,5,0.17%
Битрикс24,5,0.17%
Проектирование зданий и сооружений,5,0.17%
Календарный план строительства,5,0.17%
Протоколирование,4,0.14%
Бюджетирование,4,0.14%
Управление бюджетом,4,0.14%
Креативность,4,0.14%
Умение работать в режиме многозадачности,4,0.14%
Контроль бюджета,4,0.14%
Реализация проектов,4,0.14%
Организация рабочего процесса,4,0.14%
Водоснабжение и канализация,4,0.14%
Участие в Тендерах,4,0.14%
Строительные технологии,4,0.14%
Управление продажами,4,0.14%
Развитие продаж,4,0.14%
Исходно-разрешительная документация,4,0.14%
Взаимодействие с разрешительными органами,4,0.14%
Расстановка приоритетов,4,0.14%
Управление стейкхолдерами,4,0.14%
